Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"A 24-year-old woman who recently gave birth is experiencing fever, abdominal pain, and foul-smelling vaginal discharge. In her culture, a woman is expected to have this pain  and fever because the body is actively rebuilding itself. The healthcare team is providing treatment for suspected puerperal sepsis and monitoring her closely.",Puerperal sepsis,"How has the patient's suspected puerperal sepsis been diagnosed and managed, and what measures have been taken to ensure her well-being?",The body is rebuilding itself and so pain and fever are expected after deliver.,"Pain is always an indication of tissue damage and fever is one of the signs of infection. After delivery, the body goes through recovery but pain and fever are not to be expected.","Do an ultrasound scan. Do tests like CBC, urinalysis, blood grouping and cross-matching.  Give crystalloids like normal saline or ringer's lactate. Maintain continuos bladder drainage by catheterisation. Give a broad spectrum antibiotic like ceftriazone or sulbactum. Encourage proper hygiene. Eat a balanced diet."
A 29-year-old woman who had an abortion is experiencing heavy bleeding. She was told that a woman who has an abortion is cursed with barrenness. The healthcare team is providing treatment to manage the hemorrhage and ensure her safety.,Management of hemorrhage due to abortion,"How has the patient's hemorrhage following her abortion been managed, and what steps have been taken to ensure her safety?","After an abortion, a woman is cursed with barrenness.","Sometimes an abortion is inevitable, and sometimes a child is lost because he or she wouldnot have been able to grow. So a woman does not have to beat herself up for it. She is capabke of getting other children if the abortion if managed properly.","Do tests like CBC, haemoglobin measurement. Blood grouping and cross-matching. Do an ultrasound scan. Give crystalloids like normal saline. Transfuse with blood if necessary. Do a vaginal exam and remove the retained products of conception. Maitain bladder drainage. give oxytocin as needed and misoprostol. start antibiotic therapy. give analgesics. perform manual vacuum aspiration."
A 27-year-old woman who had an abortion is experiencing abdominal pain and signs of infection. She read online that douching is good for vaginal health.The healthcare team is providing treatment to address the complications and monitoring her closely.,Management of abortion complications,"How have the patient's abortion complications been managed, and what measures have been taken to ensure her well-being?",Vaginal douching is good for vaginal health.,Douching is contradictory as it exposes a woman to infections as it disrupts the normal flora which is protective. It should be avoided.,"Do an ultrasound scan. Do tests like CBC, blood grouping and cross-matching. Give cryatalloids like normal saline. Give a broad spectrum antibiotic. Give an analgesic and antipyretic. Insert catheter to continuosly drain the bladder. Encourage uptake of family planning to delay the next pregnancy."
"A 25-year-old woman who had an abortion is experiencing fever, abdominal pain, and foul-smelling vaginal discharge. In her culture, fever is caused by standing under the sun for too long. The healthcare team is providing treatment for suspected sepsis following the abortion and monitoring her closely.",Management of sepsis following abortion,"How has the patient's suspected sepsis following her abortion been diagnosed and managed, and what measures have been taken to ensure her well-being?",Standing under the sun for too long causes fever.,"Fever is usually a result of spiking infection. When someone stands under the sun for too long, then body can easily regulate the temperature and it subsides.","Do an ultrasound scan. Do tests like CBC, blood grouping and cross-matching. Give cryatalloids like normal saline. Give a broad spectrum antibiotic. Give an analgesic and antipyretic. Assess for cause of sepsis and have it treated."
A 29-year-old woman who had an abortion is feeling emotionally distressed and is seeking support. Her village mates think that abortion is always the mother's fault. The healthcare team is providing post-abortion counseling to help her cope with her feelings and provide guidance.,Post-abortion counseling,"What post-abortion counseling has been provided to the patient, and how has she been supported in coping with her emotions?",Abortion is always a mother's choice.,Abortion if not always a mother's choice because it can be inevitable or missed. And sometimes it can be induced considering the risks associated with carrying the pregnancy.,Connect mother to a social support group. Advice on family planning to delay pregnancy until when ready. Treat cause of abortion for example infections. Advise mother on adherance to antibiotics.
"A 24-year-old woman in labor has a cord prolapse, with the umbilical cord descending before the baby. She was told that this happenes when eats offals during pregnancy. The healthcare team is taking immediate action to prevent complications and ensure a safe delivery.",Cord prolapse,"How has the patient's cord prolapse been managed during labor, and what steps have been taken to prevent complications and ensure a safe delivery?",Eating offals during pregnancy causes cord prolapse.,"Cord prolapse is caused by polyhydrominous, multiparity, prematurity, malpresentation like in transverse lie and others. Eating offals is not connected to it. Offals are very nutritious and their ingestion should be encouraged.","Do a vaginal examination if membranes ruptured to check if cord is pulsating. Put mother in knee-chest position. Perform intrauterine rescusitation with fluids. Administer oxygen administration. Monitor fetal heartrate continuosly. Deliver baby by emergency cesearean section but if the mother is second stage of labor, then give a generous episiotomy and deliver baby by forceps or vacuum delivery."
"A 29-year-old woman in labor is experiencing fetal distress, with changes in the baby's heart rate. In her culture, when a woman looks at the grave of a dog or cat, then the baby comes out malnourished and witha sunken chest. The healthcare team is monitoring the situation closely and considering options for a safe delivery.",Fetal distress,"How has the patient's fetal distress been managed during labor, and what options have been considered to ensure the well-being of the baby?","When a woman looks at the grave of a cat or dog, the baby comes out malnourished and  with a sunken chest.",This is linked to fetal distress but fetal distress occurs when the foetus suffers from oxygen deprivation and becomes hypoxic.,"Do a vaginal exam and assess the state of the membranes whether ruptured or intact and rule out cord presentation. Give oxygen to the mother by face mask or nasal prongs. Give iv fluids like normal saline or ringer's lactate. Monitor fetal heartrate, if its is unassuring after 3 contractions then deliver baby by emergency cesearean section. Prepare for newborn rescusitation."
"A 28-year-old woman has just delivered her baby and is receiving postpartum care. She was told that she is not supposed to share a bed with her husband after delivery. The healthcare team is monitoring her vital signs, assessing her recovery, and providing support for breastfeeding and newborn care.",Postpartum care,"What postpartum care has been provided to the patient, and how has her recovery and the care of the newborn been managed?",A woman is not supposed to share a bed with her husband after giving birth.,There is no contraindication to sharing a bed with the husbamd after giving birth. It is also best to have the baby sleep in his or her own crib to prevent accidents but this should be very close to the master bedroom.,Get enough rest. Eat a balanced diet. Take plenty of fluids. Watch out for danger signs like bleeding after delivery. Monitor vital signs. Take antibiotica is prescribed. Do some exercises to improve circulation and promote healing. Do kegel execises to restore vaginal muscles. maintain a good hygiene. empty bladder frequently. Eat soft foods.
"A 30-year-old breastfeeding mother is experiencing painful swelling of the breasts, making it difficult for her to breastfeed. She read online that caggage can cure breast engorgement. The healthcare team is providing treatment and guidance to help alleviate her discomfort.",Breast engorgement,"How has the patient's breast engorgement been managed, and what steps have been taken to provide relief and support for breastfeeding?",Cabbage can cure breast engorgement.,Cabbage can bring some coolness to the breast but it doesnot eliminate the problem completely. Other interventions have to be done to manage this.,Use a warm compress. Continue breastfeeding. Ensure that the baby is healthy to guarantee maximum feeding. Practice a good breast attachment technique. Express the milk manually and store it bottles. Take an analgesic to manage the pain. Get comfortable breast pads.
"A 26-year-old breastfeeding mother is experiencing cracked and sore nipples, causing her pain and discomfort during breastfeeding. She was told that when the nipples get cracked, breastfeeding should be stopped until the breast is fine. The healthcare team is providing treatment and advice to help her continue breastfeeding.",Cracked/sore nipples,"How has the patient's cracked and sore nipples been managed, and what advice has been provided to help her continue breastfeeding?",Breastfeeding should be paused until the nipple is fine.,Cracked nipples are usually a result of poor attachment technique during breastfeeding or excessvely dry skin. Breastfeeding should continue to prevent breast engorgement.,Express some milk and apply it on the nipple. Continue breastfeeding. Practice a good attachment technique while breastfeeding. Take antibiotics to prevent infection. Take an analgesic to minimize the pain.
