Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"A 31-year-old woman with a history of hypertension in pregnancy, is experiencing sudden severe headaches and visual disturbances. She is diagnosed with preeclampsia and is receiving treatment to manage her condition and prevent complications. In her cultures, a person who over quarrels, gets hypertension.",Management of hypertensive disorders in pregnancy,"How has the patient's preeclampsia been diagnosed and managed, and what steps have been taken to prevent complications and ensure the well-being of both the mother and the baby?",Overquarreling causes hypertension.,"Quarreling increases stress levels in the body, but it doesnot cause hypertension. Hypertesnion can be caused by a number of factors and in somecases, it is genetic.",Practice calming techniques. Do some light exercises daily. Reduce the fat content in the diet. Attend ANC regularly. Get treatment and adhere to it.
"A 29-year-old woman with a twin pregnancy is experiencing regular contractions and signs of labor at 32 weeks gestation. In western Uganda, it is believed that twins are sacred and that they are protected from anything at all times. She is diagnosed with preterm labor and is receiving treatment to delay the birth and improve the chances of a healthy outcome for the babies.","Preterm (premature) labor, Multiple pregnancies","How has the patient's preterm labor been diagnosed and managed, and what steps have been taken to delay the birth and improve the chances of a healthy outcome for the babies?",Twins are sacred and are protected from all evil at all times.,"Preterm labour is not a good outcome for any child, twins or not. The closer to term for delivery, the better.",Take medication as prescibed. Avoid any streinous activities as this can quicken labour. Treat any other infection. Make a delivery readiness plan in case every intervention fails.
"A 28-year-old woman with a history of gestational diabetes in a previous pregnancy is experiencing excessive thirst, frequent urination, and fatigue during her current pregnancy. She is diagnosed with gestational diabetes and is receiving treatment to manage her blood sugar levels and ensure a healthy pregnancy. She fears that gestational diabetes is permant like she was told.",Gestational diabetes,"How has the patient's gestational diabetes been diagnosed and managed, and what steps have been taken to control her blood sugar levels and ensure a healthy pregnancy?",Gestational diabetes is permanent.,"Hormones produced during pregnancy contribute to gestational diabetes sometimes. It is not permanent, it usually resolves after childbirth.","Eat a balanced diet, paying attention to the fat, protein and carbohydrate intake. Eat evry two hours to control blood sugar while adhering to the medication. Do exercises regularly."
"A 30-year-old woman with a previous scars is experiencing severe abdominal pain and heavy bleeding during labor. She is diagnosed with a ruptured uterus and is undergoing emergency surgery to manage the condition and ensure her safety. In the northern part of Uganda where she lives, it is believed that a woman has a ceasrean section because she committed an offence and so she got cursed.",Ruptured uterus,"How has the patient's ruptured uterus been diagnosed and managed, and what measures have been taken to ensure her safety and address the associated risks?",Cesearean section is due to an offense committed by the lady.,"A cesearean section is considered basing on a number of reasons, complications that cannot be solved to avoid it. ",Keep in touch with close relatives for emotional support. Take antibiotics as prescribed to avoid infections. Do light exercises to improve blood circulation. Eat a balanced diet. Maintaing good hygiene.
A 27-year-old woman who recently gave birth is experiencing heavy vaginal bleeding two weeks after delivery. She is diagnosed with secondary postpartum hemorrhage and is receiving treatment to manage the bleeding. She says that it’s the dirty blood that is coming out.,Secondary postpartum hemorrhage,"How has the patient's secondary postpartum hemorrhage been diagnosed and managed, and what steps have been taken to address the bleeding and ensure her well-being?",Severe bleeding after birth is because dirty blood is coming out.,Any severe bleeding after birth is a danger sign. ,"Report to the hospital immediately. Do tests like CBC, blood grouping and cross-matching. "
"A 26-year-old breastfeeding mother with a history of recurrent mastitis is experiencing severe breast pain, swelling, and signs of infection. She is diagnosed with a breast abscess and is receiving treatment to drain the abscess and manage the infection. She believes that she has cancer and her breast is going to be cut off.","Breast abscess, Mastitis","How has the patient's breast abscess been diagnosed and managed, and what steps have been taken to address the infection and ensure her well-being?",There is cancer in the breast and it is going to be cut off.,"With absesses, it is not always cancer, with treatment, the breast can heal, and cutting the breast off is the last option.",Adhere to the treatment plan. Practise good hygiene. Breastfeed with the unaffected breast. Press the breast with warm water.
"A 32-year-old pregnant woman who is living with HIV/AIDS is receiving antiretroviral therapy and seeking guidance on the management of her pregnancy and the prevention of mother-to-child transmission. She fears that her unborn child is also going to get HIV, she lives in Agago, Lira and she claims that her friend got it from her mother.",HIV/AIDS in pregnancy,"How has the patient's HIV/AIDS been managed during her pregnancy, and what steps have been taken to prevent mother-to-child transmission and ensure the well-being of both the mother and the baby?",Babies get HIV in-utero.,"If a mother adheres to ARVs, the chances of transmitting the virus to the child reduce. Also when the delivery is handled properly, the virus cannot be trasmitted. ",Adhere to the treatment plan. Plan to delivery from a credible health facility. Eat a balanced diet. Attend ANC regularly.
"A 28-year-old pregnant woman living in an area affected by a viral hemorrhagic fever outbreak is seeking information and guidance on the management of her pregnancy and the prevention of infection. In the area, people believe that the illness is terminal, and there is not cure.","Viral hemorrhagic fever (Ebola, Marburg, Lassa, Yellow, etc.)","How has the patient's risk of viral hemorrhagic fever been assessed and managed during her pregnancy, and what steps have been taken to prevent infection and ensure her well-being and the health of her baby?",Viral hemorhagic disease is terminal.,"There is no cure or vaccine for the disease, but if managed timely and intensively, a person can heal from it.",Avoid direct and unprotected contact with body fluids of an infected person. Wash hands with water and soap thoroughly regularly.
"A 26-year-old pregnant woman who has tested positive for COVID-19 is experiencing mild symptoms and is receiving intrapartum care. She is seeking guidance on the management of her delivery and the prevention of transmission to her baby. In the area, people believe that drinking alcohol helps prevent Covid-19, and since she is pregnant and not drinking alcohol, she says that it is why she has got the disease.",Intrapartum care for COVID-19 in pregnancy,"How has the patient's COVID-19 been managed during the intrapartum period, and what steps have been taken to prevent transmission to the baby and ensure a safe delivery?",Drinking alcohol prevents Covid-19,"Drinking alcohol does not prevent alcohol, but using an alcohol based sanitizer does.","Wash hands often. Wear a mask whenever in a public place. Take plenty of fluids frequently. Eat fruits, they are rich in vitamins."
"A community health worker is conducting maternal health screening in a rural community to identify and address potential health risks for pregnant women. Members in the community say that there is no need to go to the hospital, if there is no illness. The community health worker is following guidelines to ensure accurate screening and appropriate referrals.","Community participation in reproductive health programs, Referral","How has maternal health screening been conducted in the community, and what steps have been taken to ensure accurate screening and appropriate referrals for pregnant women?","If a person feels fine, then there is no need to go to the hospital.",There is need for regular check up even when when not feeling well.,Increase on the numbers of health education sessions organised in the community. Empower the village health teams. Improve on the health program delivery to the community.
"A 35-year-old woman, 35 weeks pregnant, presents with severe abdominal pain and contractions. She has one previous scar. She was told that bleeding during pregnancy is because the baby has an abnormality.The midwife suspects placental abruption and is considering emergency delivery.",Antepartum hemorrhage,"How should the patient's suspected placental abruption be managed, and what are the guidelines for emergency delivery in the case of placental abruption?",Antepartun bleeding is because the baby has an abnormality.,"Antepartum bleeding can be due to reasons like placenta previa, abruptio placentae, uterine rupture, vasa previa and many other reasons but not because the baby has an abnormality.","Do an ultra sound scan. Do tests like CBC, blood grouping and crossmatching. Report to the facility immediately. Follow the treatment plan. Take plenty of fluids."
"A 29-year-old woman, 8 weeks postpartum, presents with a painful, swollen area in her breast, accompanied by a high fever and chills. She fears that her breast is going to be cut off. She has been diagnosed with a breast abscess and is receiving treatment.",Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Breast with an abscess is going to be cut off.,"Breast abscesses are not necessarily cancerous even if they can be. They can be drained, treated and the breast can be normal again.",Get emotional support. Continue breastfeeding the baby. Ensure proper diet and plenty of fluids. Follow the treatment plan. Dress the wound daily.
