Scenario,Keywords,Question,Guidelines Targeted,Health screening Questions (2-5),Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"Amina, a 26-year-old woman, is 8 months pregnant and lives in a region where malaria is prevalent, recently she ate mangoes when it was raining. She has no mosquito net at home and was recently diagnosed with malaria. She wants advice on how to protect herself and her baby from future infections.","Malaria, 8 months pregnant, Mosquito net, Protection, Future infections and eating mangoes when it is raining.",What steps should Amina take to protect herself and her baby from malaria in the last month of her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Have you been attending ANC? Have you been monitoring your baby's movements all throught the pregnancy? Do you have any other complaints?,Eating mangoes when it is raining makes one to get malaria.,Mangoes boost the immunity and have no relation with malaria. Rain increases room for mosquito breeding but it doesnot necessarily cause malaria.,"Sleep under a treated mosquito net, clear bushes and stagnant water. Attend ANC and take the antimalarials given at the visit. Make a birth preparedness plan."
"Jennifer, a 29-year-old pregnant woman in her second trimester, has been feeling weak and fatigued, she has not been eating fruits like pineapples since she became pregnant. She is worried that she might have contracted malaria. Her husband recently recovered from malaria, and they live near a swampy area where mosquitoes are common.","Malaria, Second trimester, Weakness, Fatigue, Swampy area, eating pineapples","How would you evaluate Jennifer's risk of malaria given her symptoms, her husband's recent illness, and their living conditions? What recommendations would you provide to manage her symptoms and reduce her risk of infection?","Management of Malaria in Pregnancy, Antenatal Care, Management of Hypertensive Disorders in Pregnancy","Which measures have you put up to protect yourselves against malaria? Do you know when you might give birth? What is your diet plan, now that you are pregnant?",Eating pineapples is not good for pregnancy.,Pineapples arerich in vitamins and therefore good as a diet supplement.,Put in place various measures to fight malaria in her home. Attend ANC regularly at the nearest health center.Eat pineapples because the myth is not true. Get treatment as prescribed and adhere to it.
"Naomi, a 30-year-old pregnant woman, lives in a crowded urban area with her two young children and husband. Naomi was also told by her grandmother that wearing black clothes makes one invisible to mosquitoes, she has been wearing these since she became pregnant. She recently tested positive for malaria and is worried about her family's risk of infection. Naomi is also concerned about the safety of antimalarial drugs during pregnancy.","Malaria, Urban area, Family risk, Antimalarial drugs, Safety, wearing black clothes for malaria prevention.",How would you address Naomi's concerns about the safety of antimalarial drugs during pregnancy and her family's risk of infection?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you use to fight malaria? Do you sleep under a treated mosquito net? ,Black clothes protect one against mosquito bites.,Clothes that one wears don’t deter a amosquito from biting that person and so they don’t protect a person against malaria.,Sleep under a treated mosquito net. Learn proper use of a mosquito net. Attend ANC regularly.
"Beatrice, a 34-year-old woman, is pregnant with twins and lives in a high-risk malaria zone, she was also told that twins are a special blessing as they protect their mother from any harm. She has had intermittent fever and headaches for the past week. Beatrice is concerned about the potential impact of malaria on her pregnancy, especially considering her twins.","Malaria, Twins, High-risk zone, Fever, Headaches, twins protect protect from harm.","Given Beatrice's symptoms and the fact that she is pregnant with twins, how would you assess her condition and manage her suspected malaria?","Management of Malaria in Pregnancy, Multiple Pregnancies, Intrapartum Care",Have you ever done an ultrsound scan? Which measures do you employ to fight malaria?,Twins protect their mother from harm.,The children in the belly don’t directly play a role in the protection of the mother,Get rest and eat a balanced diet. Sleep under a treated mosquito net. Attend ANC and take antimalarials regularly.
"Ruth, a 27-year-old pregnant woman, was diagnosed with malaria during her first trimester, Ruth leaves in a community where it is believed that insects are sacred and that ansestors communicate through them. She completed her treatment, but during her second trimester, she is experiencing recurrent episodes of fever and chills. Ruth is worried about the impact of recurrent malaria on her unborn child.","Malaria, Recurrent episodes, Fever, Chills, Unborn child, insects are sacred and means of communication by anscestors.",What steps would you take to manage Ruth's recurrent malaria and prevent further episodes? What information would you provide to address her concerns about the impact on her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Hyperemesis Gravidarum",Do you have any immune-compromising illness? Do you sleep under a treated mosquito net?,Insects are sacred and means of communication by ancestors.,"Insects are another species on earth, there is no proved connection between them and anscestors. They bite a human to feed.",Attend ANC regularly.Take antimalarials for prophylaxis. Get an ultrasound scan done.
"Hannah, a 31-year-old woman in her third trimester, she has a co-wife who she says bewitches her, has just been diagnosed with severe malaria. She is experiencing high fever, confusion, and difficulty breathing. Hannah's husband is very concerned and is seeking urgent medical assistance for his wife.","Malaria, Third trimester, Severe malaria, Fever, Difficulty breathing, witchcraft.",What immediate steps would you take to manage Hannah's severe malaria? How would you monitor her condition and the health of her unborn child?,"Management of Malaria in Pregnancy, Management of Hypertensive Disorders in Pregnancy, Intrapartum Care",Do you have any knowledge on malaria? Have you experiences a convulsion before? Have you taken any painkillers?,Malaria caused by witchcraft.,Malaria is caused by a bite from an infected female anophlese mosquito and so its not caused by witchcraft.,Get admitted to the hospital ward. Attend ANC regaularly. Get treatment regularly.
"Margaret, a 33-year-old pregnant woman in her second trimester, recently moved to a malaria-endemic region.she believes though that her ancestors are not happy with her because of the relocation. She is unsure about the local healthcare facilities and wants guidance on preventing malaria during her pregnancy.","Malaria, Second trimester, Malaria-endemic region, Prevention, Local healthcare, anscestors.",What preventive measures would you recommend to Margaret to minimize her risk of contracting malaria in her new environment?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Have you ever employes any measures to fight malaria? Do you have knowledge on malaria?,Anscestors angry with Margaret because of the relocation and therefore making her sick.,Malaria is caused by a bite from an infected female anophlese mosquito and so its not caused by witchcraft.,Sleep under a treated mosquito net? Take prophylactic antimalarials. Attend ANC regularly. 
"Susan, a 35-year-old woman in her first trimester of pregnancy, lives in a region where malaria is common. She is concerned about her family's risk of malaria, as her two children have previously contracted the disease. she believes though the local herbs that she takes, omululuza can protect and heal her from malaria. Susan is seeking advice on how to protect her family and herself during her pregnancy.","Malaria, First trimester, Family risk, Previous infections, Protection",How would you advise Susan on the steps to protect her family and herself from malaria during her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Which measures do you use to fight malaria? Do you sleep under a treated mosquito net? Do the herbs make you feel better?,Local herbs protect and heal one from malaria,Local herbs could heal if proven in the lab but the contribution towards protection is not proven.,"Sleep under a treated mosquito net, clear bushes and stagnant water. Learn the correct use of a mosquito net. Attend ANC and take the antimalarials given at the visit. Make a birth preparedness plan."
"Lillian, a 28-year-old pregnant woman, is experiencing fever and body aches. She has previously had malaria and is worried that her current symptoms might be due to another malaria infection. Lillian lives in a rural area where malaria is prevalent. She also takes bitter foods like small eggplants , locally called katunkuma that she thinks protect her from malaria.","Malaria, Fever, Body aches, Previous infection, Rural area, Protection","How would you assess Lillian's symptoms, given her history of malaria and her living conditions? What recommendations would you provide for managing her symptoms and preventing future infections?","Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Did you complete the dose the first time you were sick? Which measures do you employ to protect against malaria?,Bitter vegetables protect from malaria.,Vegertables boost immunity but do not directly protect against malaria.,Employ measures to fight against malaria. Attend ANC and take the antimalarials regularly. Get treatment and adhere to it.
"Grace, a 24-year-old pregnant woman in her third trimester, lives in an area with high rates of malaria. She has been using a mosquito net and taking prophylactic antimalarial drugs. Despite these measures, Grace has recently developed a fever and is concerned about the risk of malaria to her unborn child. Grace though believes that medicine used by the whites has some dangerous components and so she misses her dose sometimes.","Malaria, Third trimester, Mosquito net, Prophylactic drugs, Fever",How would you evaluate Grace's risk of malaria given her preventive measures and current symptoms? What steps would you take to ensure the health and safety of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you know the proper use of a mosquito net ? Do you attend ANC? ,Manufactured medicines have dangerous components.,Manufactured medicines go through various tests to ensure that they are safe before they are made availabe to people for use.,Take medicine as prescribed fro a recognised health facility. Eat a balanced diet. Attend ANC regularly.
"Vivian, a 32-year-old pregnant woman, recently traveled to a malaria-endemic area for work. She is now in her third trimester and is feeling tired and has a fever. Vivian is concerned that she may have contracted malaria during her trip. Vivian also thinks that she might be feeling tired becuase her baby over-plays in her stomach and so quite hestant about going for treatment.","Malaria, Travel, Third trimester, Fever, Fatigue","Given Vivian's recent travel to a malaria-endemic area and her symptoms, how would you assess her condition and manage her suspected malaria during her third trimester?","Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures do you employ to to fight against malaria? ,Baby's movements tire the mother.,The mother can feel the baby kick but this doesnot directly physically exhaust the mother.,Attend ANC regularly.Take antimalarials for prophylaxis. Complete the dose as prescribed from a recognised health facility.
"Abigail, a 23-year-old pregnant woman, lives in a region with high rates of malaria transmission. She has been using insect repellents and wears long sleeves to prevent mosquito bites, she doesn't like using mosquito nets as she says that they affect her breathing. However, Abigail is concerned that she may still contract malaria.","Malaria, Insect repellent, Mosquito bites, Prevention, Concern",How would you address Abigail's concerns and assess her risk of contracting malaria given her preventive measures? What additional recommendations would you provide to reduce her risk of infection?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Have you been monitoring your baby's movements? Are you aware of the health programs available? Which measures are you employing to fight against malaria?,Mosquito nets make breathing hard.,"Mosquito nets are enfused with chemical that kills mosquitoes, it affects some people but it can be hunged under a shade snd it becomes for favorable.",Communicate with the village health team yo learn about the different health programs. Attend ANC regularly. Get treatment against malaria and adhere to the treatment.
"Rachel, a 36-year-old pregnant woman, lives in a rural area where healthcare facilities are limited. She is experiencing symptoms of malaria, such as fever, chills, and fatigue. Rachel is concerned about the availability of treatment and the impact of malaria on her unborn child. Rachel doesn't like taking manufactured drugs when she is pregnant as she thinks that they are dangerous to her unborn baby.","Malaria, Rural area, Fever, Chills, Fatigue, antimalarials","Given Rachel's symptoms, location, and concerns, how would you assess her condition and provide recommendations for managing her suspected malaria, considering the limited healthcare facilities?","Management of Malaria in Pregnancy, Antenatal Care, Referral",Do you have knowledge on proper medicine rule? Which measures are you employing to fight malaria? Do you attend ANC?,Manufactured drugs are dangerous to the unborn child.,Not all medicines are safe during pregnancy but the ones prescribed as antimalarials are safe even for the baby.,Take medicine as prescribed from a recognised health facility. Eat a balanced diet. Attend ANC regularly.
"Monica, a 28-year-old pregnant woman, is in her first trimester and has been diagnosed with malaria. She is worried about the potential effects of antimalarial drugs on her unborn child. She was told that they will make her baby to have complications like holes in the heart. Monica wants to understand the risks and benefits of treatment.","Malaria, First trimester, Antimalarial drugs, Risks, Benefits",How would you address Monica's concerns about antimalarial drugs during her first trimester and explain the risks and benefits of treatment for her and her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you have knowledge on proper medicine rule? Which measures are you employing to fight malaria? Do you attend ANC?,Antimalarials make the baby to have complications.,Some antimalarial drugs  have tiatrogenic effects but the ones prescribed for the mothers are safe.,Attend ANC regularly. Employ maesures to fight malaria. Develop a birth delivery plan.
"Lisa, a 33-year-old pregnant woman, is in her second trimester and has been diagnosed with severe malaria. She is experiencing high fever, anemia, and difficulty breathing. Lisa has a concern though, she was told that one cannot get pregnant while standing and so she wonders why she became pregnant. Lisa is seeking urgent medical assistance.","Malaria, Second trimester, Severe malaria, Fever, Anemia","What immediate steps would you take to manage Lisa's severe malaria, considering her symptoms and stage of pregnancy? How would you monitor her condition and the health of her unborn child?","Management of Malaria in Pregnancy, Anaemia in Pregnancy, Intrapartum Care",Do you know how to recognise the signs of malaria? Do you attend ANC? Have you taken any painkillers?,One cannot become pregnant while standing.,Standing has no effect on pregnancy as long fertilisation occurs.,Attend ANC regularly. Take medication as prescribed. Protect yourself against malaria using various measures.
"Emma, a 30-year-old pregnant woman, is in her third trimester and has tested positive for malaria. She is experiencing recurrent vomiting and is concerned about the impact of malaria on her unborn child, she thinks that baby is also going to suffer from malaria inside her stomach. Emma wants to know the best treatment options.","Malaria, Third trimester, Vomiting, Impact, Treatment options",How would you manage Emma's malaria given her symptoms and stage of pregnancy? What treatment options would you recommend to ensure the health of her unborn child?,"Management of Malaria in Pregnancy, Hyperemesis Gravidarum, Health Supplies",Have you eaten anything that may have upset your stomach? Do you have any other immune-compromising illnes? Do attend ANC? ,An unborn child doesnot suffer from malaria directly.,Malaria affects the placenta and also attacks the red blood cells of the mother and this affects the unborn child.,Attend ANC reguarly. Take antimalarials as prescribed. 
"Natalie, a 25-year-old pregnant woman, is in her second trimester and lives in a high-risk malaria zone. She has been using a mosquito net and taking prophylactic antimalarial drugs, she believes that those are the ultimate ways to fight malaria and so if she continues to do so, she cannot get malaria. However, Natalie has recently developed a fever and is concerned about the risk of malaria.","Malaria, Second trimester, Mosquito net, Prophylactic drugs, Fever",How would you evaluate Natalie's risk of malaria given her preventive measures and current symptoms? What steps would you take to ensure her health and the safety of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",How do you use your mosquito net? How often do you use the mosquito repellant? Do you attend ANC?,A mosquito net and antimalarial prophylacsis is sufficient to fight against laria.,These reduce the chances of getting malaria but they are not ultimate.,Attend ANC regularly. Take antimalarials as prescribed. Learn the proper mosquito net use.
"Lauren, a 27-year-old pregnant woman, is experiencing fatigue, headaches, and joint pain. She is concerned that these symptoms may be related to malaria, as she lives in a region where the disease is common, she believes though people who believe in God donot become sick, and if sick prayer alone works just fine. Lauren wants to know how to protect herself from malaria during her pregnancy.","Malaria, Fatigue, Headaches, Joint pain, Protection",How would you assess Lauren's symptoms and risk of malaria given her location and concerns? What recommendations would you provide for managing her symptoms and preventing future infections?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Which measures do you employ to to fight against malaria? ,People who believe in God do not become sick.,"God protects us from harm but He does this through various ways, healing from an illness after getting treatment is also willed by God.",Attend ANC regularly. Employ maesures to fight malaria. Develop a birth delivery plan.
"Andrea, a 34-year-old pregnant woman, lives in a region with high rates of malaria. But in this region, people believe that when it is hot, people donot suffer from malaria.  She has a history of recurrent malaria infections and is worried about the impact of malaria on her pregnancy. Andrea wants advice on how to prevent future infections.","Malaria, Recurrent infections, Impact, Prevention, History",How would you assess Andrea's risk of malaria given her history and location? What preventive measures would you recommend to minimize her risk of future infections during her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",How do you use your mosquito net? How often do you use the mosquito repellant? Do you attend ANC?,"When it is hot, people do not suffer from malaria.","when it is hot, the rate of malaria spread is low but it also spreads so people can still suffer from it.",Attend ANC regularly. Employ measures to fight against malaria. Attend village health team health education talks.
"Rebecca, a 29-year-old pregnant woman, is in her third trimester and lives in a malaria-endemic area. She showers a number of herbs that she says that protect her from any danger.  She has had intermittent fever and headaches for the past week. Rebecca is concerned about the potential impact of malaria on her unborn child.","Malaria, Third trimester, Fever, Headaches, Malaria-endemic area","Given Rebecca's symptoms, stage of pregnancy, and location, how would you assess her condition and manage her suspected malaria? What information would you provide to address her concerns about the impact on her unborn child?","Management of Malaria in Pregnancy, Antenatal Care, Intrapartum Care",Do you attend ANC? Which measures do you employ to to fight against malaria? ,Showering herbs protects from harm like diseases.,"Harm occurs in  a number of ways and when it comes to malaria, an insect bite does the trick.",Attend ANC regularly. Take antimalarials as prescribed. Learn the proper mosquito net use.
"Janet, a 26-year old pregnant  woman, is in her first trimester. She is experiencing flu-like symptoms and is concerned about her health. Janet lives in an area with high incidence of malaria and is unsure about how to protect herself and her un born child. Janet is a prayer warrior at her church and she believes that she doesnot need medication to heal.","Malaria, First trimester, Flu-like symptoms, Protection, High incidence",What preventive measures would you recommend to Janet to minimize her risk of contracting malaria? How would you evaluate her flu-like symptoms and consider the possibility of malaria given her location and stage of pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC?,Prayers are enough to heal.,"God protects us from harm but He does this through various ways, healing from an illness after getting treatment is also willed by God.",Employ measures to fight against malaria. Attend ANC and take the antimalarials regularly. Get treatment and adhere to it.
"Karen, a 35-year-old pregnant woman, is in her third trimester and has a history of severe malaria during her previous pregnancies. She is concerned about the risk of complications during her current pregnancy and is seeking advice on malaria prevention. She says that malaria kills an unborn baby.","Malaria, Third trimester, Severe malaria, Previous pregnancies, Complications",How would you assess Karen's risk of malaria given her history of severe infections during previous pregnancies? What preventive measures would you recommend to reduce her risk of complications related to malaria?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Which measures do you employ to to fight against malaria? ,Malaria kills an unborn baby.,"Malaria complicates a pregnancy and it can lead intrautero-fetal death. But if managed adequately and timely, everything turns out just fine.",Attend ANC regularly. Adopt measures to fight against malaria. Eat foods rich in iron and folic acids like vegetables. Take antimalarials as prescribed.
"Alice, a 22-year-old pregnant woman, is experiencing high fever, headache, and muscle pain, she first took some local herbs including ginger to try and cure her condition but failed. She has been diagnosed with malaria and is worried about the potential impact on her unborn child. Alice is seeking information on treatment options and the safety of antimalarial drugs during pregnancy.","Malaria, Fever, Headache, Muscle pain, Treatment options, Safety",What treatment options would you recommend to Alice for managing her malaria during pregnancy? How would you address her concerns about the safety of antimalarial drugs and their potential impact on her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures do you employ to to fight against malaria? Do you attend health education talks?,Local herbs like ginger cure malaria.,Ginger is a good spice rich in a number of minerals but it does not cure malaria.,Attend ANC regularly. Adopt measures to fight against malaria. Eat foods rich in iron and folic acids like vegetables. Take antimalarials as prescribed. Attend health education talks for relaible information.
"Naomi, a 31-year-old pregnant woman, is in her second trimester and lives in a region with high malaria transmission. She has been using insect repellent and sleeping under a mosquito net. she belives though mosquito nets only protect from insect bites but not from malaria. Naomi is concerned about her risk of malaria despite taking preventive measures.","Malaria, Second trimester, Insect repellent, Mosquito net, Risk",How would you assess Naomi's risk of malaria given her preventive measures and location? What additional recommendations would you provide to further reduce her risk of infection during her second trimester?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC?,Mosqquito nets protect from mosquito bites but not malaria.,"Malaria is caused and spread via a mosquito bite so if these are avoided, then insesantly, malaria is also prevented.",Adopt measures for protection against malaria. Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
"Victoria, a 28-year-old pregnant woman, has been diagnosed with severe malaria.she doesnot attend ANC unless she has a complication with her pregnancy. She is in her third trimester and is experiencing symptoms such as high fever, jaundice, and difficulty breathing. Victoria is concerned about her health and the impact of severe malaria on her unborn child.","Malaria, Third trimester, Severe malaria, Fever, Jaundice",How would you manage Victoria's severe malaria given her symptoms and stage of pregnancy? What steps would you take to ensure the health of her unborn child and monitor her condition throughout her third trimester?,"Management of Malaria in Pregnancy, Intrapartum Care, Health Supplies",How often do you add vegetables to your diet? Do you attend health education talks? Do you have a birth readiness plan?,No need for ANC unless there is a problem with the pregnancy.,"Through ANC, a number of complications can be identified early and managed timely, it is therefore important for a woman to attend ANC as soon as she becomes pregnant.",Add vegetables to the diet everyday. Attend health education talks for reliable imformation. Make a plan for delivery to increase the chances of good outcomes.
"Sarah, a 29-year-old pregnant woman, is experiencing fever, chills, and sweating. She lives in a region where malaria is endemic but she wears charms around her waist that she claims protect her and her unborn child from diseases and is now concerned about the potential impact of malaria on her pregnancy. Sarah is seeking information on the risks and benefits of antimalarial drugs.","Malaria, Fever, Chills, Sweating, Risks, Benefits",How would you evaluate Sarah's symptoms and assess her risk of malaria given her location and concerns? What information would you provide on the risks and benefits of antimalarial drugs during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC?,Charms protect the mother and her baby from any harm.,"Unless there is a way that charms keep the mosquitoes from biting an individual, they do not protect against malaria. It is therefore importants to actively prevent it.",Adopt measures for protection against malaria. Attend health education talks. Attend ANC regularly. Take antimalarials as prescribed.
