Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
24 year old woman recently give birth experience fever abdominal pain foul smell vaginal discharge culture woman expect pain fever body actively rebuild healthcare team provide treatment suspect puerperal sepsis monitor closely,Puerperal sepsis,"How has the patient's suspected puerperal sepsis been diagnosed and managed, and what measures have been taken to ensure her well-being?",The body is rebuilding itself and so pain and fever are expected after deliver.,"Pain is always an indication of tissue damage and fever is one of the signs of infection. After delivery, the body goes through recovery but pain and fever are not to be expected.","Do an ultrasound scan. Do tests like CBC, urinalysis, blood grouping and cross-matching.  Give crystalloids like normal saline or ringer's lactate. Maintain continuos bladder drainage by catheterisation. Give a broad spectrum antibiotic like ceftriazone or sulbactum. Encourage proper hygiene. Eat a balanced diet."
29 year old woman abortion experience heavy bleeding tell woman abortion curse barrenness healthcare team provide treatment manage hemorrhage ensure safety,Management of hemorrhage due to abortion,"How has the patient's hemorrhage following her abortion been managed, and what steps have been taken to ensure her safety?","After an abortion, a woman is cursed with barrenness.","Sometimes an abortion is inevitable, and sometimes a child is lost because he or she wouldnot have been able to grow. So a woman does not have to beat herself up for it. She is capabke of getting other children if the abortion if managed properly.","Do tests like CBC, haemoglobin measurement. Blood grouping and cross-matching. Do an ultrasound scan. Give crystalloids like normal saline. Transfuse with blood if necessary. Do a vaginal exam and remove the retained products of conception. Maitain bladder drainage. give oxytocin as needed and misoprostol. start antibiotic therapy. give analgesics. perform manual vacuum aspiration."
27 year old woman abortion experience abdominal pain sign infection read online douching good vaginal health healthcare team provide treatment address complication monitor closely,Management of abortion complications,"How have the patient's abortion complications been managed, and what measures have been taken to ensure her well-being?",Vaginal douching is good for vaginal health.,Douching is contradictory as it exposes a woman to infections as it disrupts the normal flora which is protective. It should be avoided.,"Do an ultrasound scan. Do tests like CBC, blood grouping and cross-matching. Give cryatalloids like normal saline. Give a broad spectrum antibiotic. Give an analgesic and antipyretic. Insert catheter to continuosly drain the bladder. Encourage uptake of family planning to delay the next pregnancy."
25 year old woman abortion experience fever abdominal pain foul smell vaginal discharge culture fever cause stand sun long healthcare team provide treatment suspect sepsis follow abortion monitor closely,Management of sepsis following abortion,"How has the patient's suspected sepsis following her abortion been diagnosed and managed, and what measures have been taken to ensure her well-being?",Standing under the sun for too long causes fever.,"Fever is usually a result of spiking infection. When someone stands under the sun for too long, then body can easily regulate the temperature and it subsides.","Do an ultrasound scan. Do tests like CBC, blood grouping and cross-matching. Give cryatalloids like normal saline. Give a broad spectrum antibiotic. Give an analgesic and antipyretic. Assess for cause of sepsis and have it treated."
29 year old woman abortion feel emotionally distressed seek support village mate think abortion always mother fault healthcare team provide post abortion counseling help cope feeling provide guidance,Post-abortion counseling,"What post-abortion counseling has been provided to the patient, and how has she been supported in coping with her emotions?",Abortion is always a mother's choice.,Abortion if not always a mother's choice because it can be inevitable or missed. And sometimes it can be induced considering the risks associated with carrying the pregnancy.,Connect mother to a social support group. Advice on family planning to delay pregnancy until when ready. Treat cause of abortion for example infections. Advise mother on adherance to antibiotics.
24 year old woman labor cord prolapse umbilical cord descend baby tell happene eat offal pregnancy healthcare team take immediate action prevent complication ensure safe delivery,Cord prolapse,"How has the patient's cord prolapse been managed during labor, and what steps have been taken to prevent complications and ensure a safe delivery?",Eating offals during pregnancy causes cord prolapse.,"Cord prolapse is caused by polyhydrominous, multiparity, prematurity, malpresentation like in transverse lie and others. Eating offals is not connected to it. Offals are very nutritious and their ingestion should be encouraged.","Do a vaginal examination if membranes ruptured to check if cord is pulsating. Put mother in knee-chest position. Perform intrauterine rescusitation with fluids. Administer oxygen administration. Monitor fetal heartrate continuosly. Deliver baby by emergency cesearean section but if the mother is second stage of labor, then give a generous episiotomy and deliver baby by forceps or vacuum delivery."
29 year old woman labor experience fetal distress change baby heart rate culture woman look grave dog cat baby come malnourished witha sink chest healthcare team monitor situation closely consider option safe delivery,Fetal distress,"How has the patient's fetal distress been managed during labor, and what options have been considered to ensure the well-being of the baby?","When a woman looks at the grave of a cat or dog, the baby comes out malnourished and  with a sunken chest.",This is linked to fetal distress but fetal distress occurs when the foetus suffers from oxygen deprivation and becomes hypoxic.,"Do a vaginal exam and assess the state of the membranes whether ruptured or intact and rule out cord presentation. Give oxygen to the mother by face mask or nasal prongs. Give iv fluids like normal saline or ringer's lactate. Monitor fetal heartrate, if its is unassuring after 3 contractions then deliver baby by emergency cesearean section. Prepare for newborn rescusitation."
28 year old woman deliver baby receive postpartum care tell suppose share bed husband delivery healthcare team monitor vital sign assess recovery provide support breastfeed newborn care,Postpartum care,"What postpartum care has been provided to the patient, and how has her recovery and the care of the newborn been managed?",A woman is not supposed to share a bed with her husband after giving birth.,There is no contraindication to sharing a bed with the husbamd after giving birth. It is also best to have the baby sleep in his or her own crib to prevent accidents but this should be very close to the master bedroom.,Get enough rest. Eat a balanced diet. Take plenty of fluids. Watch out for danger signs like bleeding after delivery. Monitor vital signs. Take antibiotica is prescribed. Do some exercises to improve circulation and promote healing. Do kegel execises to restore vaginal muscles. maintain a good hygiene. empty bladder frequently. Eat soft foods.
30 year old breastfeed mother experience painful swelling breast make difficult breastfeed read online caggage cure breast engorgement healthcare team provide treatment guidance help alleviate discomfort,Breast engorgement,"How has the patient's breast engorgement been managed, and what steps have been taken to provide relief and support for breastfeeding?",Cabbage can cure breast engorgement.,Cabbage can bring some coolness to the breast but it doesnot eliminate the problem completely. Other interventions have to be done to manage this.,Use a warm compress. Continue breastfeeding. Ensure that the baby is healthy to guarantee maximum feeding. Practice a good breast attachment technique. Express the milk manually and store it bottles. Take an analgesic to manage the pain. Get comfortable breast pads.
26 year old breastfeed mother experience crack sore nipple cause pain discomfort breastfeed tell nipple get crack breastfeeding stop breast fine healthcare team provide treatment advice help continue breastfeed,Cracked/sore nipples,"How has the patient's cracked and sore nipples been managed, and what advice has been provided to help her continue breastfeeding?",Breastfeeding should be paused until the nipple is fine.,Cracked nipples are usually a result of poor attachment technique during breastfeeding or excessvely dry skin. Breastfeeding should continue to prevent breast engorgement.,Express some milk and apply it on the nipple. Continue breastfeeding. Practice a good attachment technique while breastfeeding. Take antibiotics to prevent infection. Take an analgesic to minimize the pain.
24 year old woman labor transverse lie make vaginal delivery impossible believe cesearean section way dodge pain healthcare team plan cesarean section ensure safe delivery,Transverse lie,"How has the patient's transverse lie been managed during labor, and what steps have been taken to plan for a cesarean section?",Cesearean section is a way to dodge labor pain during vaginal delivery.,"Cesearean section is also painful and after the procedure, a woman also feels pain, no to mention the pain while nursing the wound.",Do an obstetric ultrasoud scan. Counsel mother on the condition. Ensure fetal wellbeing. Prepare mother for emergency cesearean section.
