Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
31 year old woman history hypertension pregnancy experience sudden severe headache visual disturbance diagnose preeclampsia receive treatment manage condition prevent complication culture person quarrel get hypertension,Management of hypertensive disorders in pregnancy,"How has the patient's preeclampsia been diagnosed and managed, and what steps have been taken to prevent complications and ensure the well-being of both the mother and the baby?",Overquarreling causes hypertension.,"Quarreling increases stress levels in the body, but it doesnot cause hypertension. Hypertesnion can be caused by a number of factors and in somecases, it is genetic.",Practice calming techniques. Do some light exercises daily. Reduce the fat content in the diet. Attend ANC regularly. Get treatment and adhere to it.
29 year old woman twin pregnancy experience regular contraction sign labor 32 week gestation western uganda believe twin sacred protect anything time diagnose preterm labor receive treatment delay birth improve chance healthy outcome baby,"Preterm (premature) labor, Multiple pregnancies","How has the patient's preterm labor been diagnosed and managed, and what steps have been taken to delay the birth and improve the chances of a healthy outcome for the babies?",Twins are sacred and are protected from all evil at all times.,"Preterm labour is not a good outcome for any child, twins or not. The closer to term for delivery, the better.",Take medication as prescibed. Avoid any streinous activities as this can quicken labour. Treat any other infection. Make a delivery readiness plan in case every intervention fails.
28 year old woman history gestational diabete previous pregnancy experience excessive thirst frequent urination fatigue current pregnancy diagnose gestational diabete receive treatment manage blood sugar level ensure healthy pregnancy fear gestational diabetes permant like tell,Gestational diabetes,"How has the patient's gestational diabetes been diagnosed and managed, and what steps have been taken to control her blood sugar levels and ensure a healthy pregnancy?",Gestational diabetes is permanent.,"Hormones produced during pregnancy contribute to gestational diabetes sometimes. It is not permanent, it usually resolves after childbirth.","Eat a balanced diet, paying attention to the fat, protein and carbohydrate intake. Eat evry two hours to control blood sugar while adhering to the medication. Do exercises regularly."
30 year old woman previous scar experience severe abdominal pain heavy bleeding labor diagnose ruptured uterus undergo emergency surgery manage condition ensure safety northern part uganda live believe woman ceasrean section commit offence get curse,Ruptured uterus,"How has the patient's ruptured uterus been diagnosed and managed, and what measures have been taken to ensure her safety and address the associated risks?",Cesearean section is due to an offense committed by the lady.,"A cesearean section is considered basing on a number of reasons, complications that cannot be solved to avoid it. ",Keep in touch with close relatives for emotional support. Take antibiotics as prescribed to avoid infections. Do light exercises to improve blood circulation. Eat a balanced diet. Maintaing good hygiene.
27 year old woman recently give birth experience heavy vaginal bleeding two week delivery diagnose secondary postpartum hemorrhage receive treatment manage bleeding say dirty blood come,Secondary postpartum hemorrhage,"How has the patient's secondary postpartum hemorrhage been diagnosed and managed, and what steps have been taken to address the bleeding and ensure her well-being?",Severe bleeding after birth is because dirty blood is coming out.,Any severe bleeding after birth is a danger sign. ,"Report to the hospital immediately. Do tests like CBC, blood grouping and cross-matching. "
26 year old breastfeed mother history recurrent mastitis experience severe breast pain swelling sign infection diagnose breast abscess receive treatment drain abscess manage infection believe cancer breast go cut,"Breast abscess, Mastitis","How has the patient's breast abscess been diagnosed and managed, and what steps have been taken to address the infection and ensure her well-being?",There is cancer in the breast and it is going to be cut off.,"With absesses, it is not always cancer, with treatment, the breast can heal, and cutting the breast off is the last option.",Adhere to the treatment plan. Practise good hygiene. Breastfeed with the unaffected breast. Press the breast with warm water.
32 year old pregnant woman live hiv aids receive antiretroviral therapy seek guidance management pregnancy prevention mother child transmission fear unborn child also go get hiv live agago lira claim friend get mother,HIV/AIDS in pregnancy,"How has the patient's HIV/AIDS been managed during her pregnancy, and what steps have been taken to prevent mother-to-child transmission and ensure the well-being of both the mother and the baby?",Babies get HIV in-utero.,"If a mother adheres to ARVs, the chances of transmitting the virus to the child reduce. Also when the delivery is handled properly, the virus cannot be trasmitted. ",Adhere to the treatment plan. Plan to delivery from a credible health facility. Eat a balanced diet. Attend ANC regularly.
28 year old pregnant woman live area affect viral hemorrhagic fever outbreak seek information guidance management pregnancy prevention infection area people believe illness terminal cure,"Viral hemorrhagic fever (Ebola, Marburg, Lassa, Yellow, etc.)","How has the patient's risk of viral hemorrhagic fever been assessed and managed during her pregnancy, and what steps have been taken to prevent infection and ensure her well-being and the health of her baby?",Viral hemorhagic disease is terminal.,"There is no cure or vaccine for the disease, but if managed timely and intensively, a person can heal from it.",Avoid direct and unprotected contact with body fluids of an infected person. Wash hands with water and soap thoroughly regularly.
26 year old pregnant woman test positive covid 19 experience mild symptom receive intrapartum care seek guidance management delivery prevention transmission baby area people believe drink alcohol help prevent covid 19 since pregnant drink alcohol say get disease,Intrapartum care for COVID-19 in pregnancy,"How has the patient's COVID-19 been managed during the intrapartum period, and what steps have been taken to prevent transmission to the baby and ensure a safe delivery?",Drinking alcohol prevents Covid-19,"Drinking alcohol does not prevent alcohol, but using an alcohol based sanitizer does.","Wash hands often. Wear a mask whenever in a public place. Take plenty of fluids frequently. Eat fruits, they are rich in vitamins."
community health worker conduct maternal health screening rural community identify address potential health risk pregnant woman member community say need go hospital illness community health worker follow guideline ensure accurate screening appropriate referral,"Community participation in reproductive health programs, Referral","How has maternal health screening been conducted in the community, and what steps have been taken to ensure accurate screening and appropriate referrals for pregnant women?","If a person feels fine, then there is no need to go to the hospital.",There is need for regular check up even when when not feeling well.,Increase on the numbers of health education sessions organised in the community. Empower the village health teams. Improve on the health program delivery to the community.
35 year old woman 35 week pregnant present severe abdominal pain contraction one previous scar tell bleed pregnancy baby abnormality midwife suspect placental abruption consider emergency delivery,Antepartum hemorrhage,"How should the patient's suspected placental abruption be managed, and what are the guidelines for emergency delivery in the case of placental abruption?",Antepartun bleeding is because the baby has an abnormality.,"Antepartum bleeding can be due to reasons like placenta previa, abruptio placentae, uterine rupture, vasa previa and many other reasons but not because the baby has an abnormality.","Do an ultra sound scan. Do tests like CBC, blood grouping and crossmatching. Report to the facility immediately. Follow the treatment plan. Take plenty of fluids."
