Scenario,Keywords,Question,Guidelines Targeted,Postpartum Screening Questions (2-5),misinformation/ disinformation,Addressing misinformation,Midwifery Advice / Medical solution,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
maria 32 year old woman give birth second child experience severe postpartum bleed concerned condition believe postpartum bleed bad omen relate wicth craft especially occur consecutive pregnancy,"Postpartum care, Postpartum bleeding, Second child",What immediate actions should be taken to manage Maria's postpartum bleeding? What factors should be considered in her postpartum care?,"Postpartum Care, Management of Postpartum Hemorrhage",1. How many Antenatal visits did the patient attend? 2. Has the patient had a similar situation with her first baby? ,Believing that postpartum bleeding is a bad omen related to wicth craft especially if to occurs in consecutive pregnancies,"No, postpartum bleeding isn't witch craft caused, it can be due to retained contents in the uterus resulting in its failure to contract, or excessive uterine distension following polyhydramnious or multiple pregnancy among others.","This is a medical emergency, the health worker calls for help. With help of a multi sectorial team, Maria is counselled about the situation, and then cannulated with 2 large bore cannulas 16G, blood sample is taken for blood grouping and cross matching, 1 litre of Normal saline is administered with 20IU oxytocin. Oxytocin 10IU is also administered IV, If the placenta is delivered, the Uterus is massaged , tears in the birth canal are checked . If not, it is removed by manual removal.",,,,,,,,,,,,,,,,,,
aisha 28 year old first time mother feel overwhelmed exhausted birth baby unsure take care newborn tell new born fall sick time burden,"Postpartum care, Overwhelmed, First-time mother, Newborn care",What advice would you give to Aisha on self-care and newborn care in the postpartum period? What postpartum care services should she consider?,"Postpartum Care, Care of the Newborn, Mental Health",1.Does the patient know about cord care? 2.Does the patient know about any danger signs of the new born?, Believing that new borns fall sick all the time and they are burdens.  Believing that cow milk has the same nutritional value as breast milk.   Believing that applying honey to the cord stamp facilitates healing process.,"Aisha needs to know that baby's need special care, such as maintaining proper hygiene. It's unhygieneic environments that expose babies to sicknesses but babies themselves are not burdens.",Aisha needs to be counselled on exclusive breast feeding for upto 6 months. Aisha needs to be advised on routine and timely immunisation in order to raise a healthy baby. Aisha is advised to have a caretaker or helper forexample a sister or a housemaid depending on the econonmy to help with the increased work load or responsibilities . Aisha needs to be taught how to perform cord care using lukewarm saline water. ,,,,,,,,,,,,,,,,,,
sarah 30 year old woman struggle breastfeed newborn due sore nipple tell crack nipple natural sign stop breast feed baby frustrate consider switch formula feed,"Postpartum care, Breastfeeding, Sore nipples, Formula feeding",How would you address Sarah's breastfeeding difficulties and sore nipples? What strategies would you recommend to support successful breastfeeding?,"Postpartum Care, Breastfeeding Support, Cracked/Sore Nipples",Did the patient attend ANC visits? Did the patient attend post partum visits at the health facility to inquire about any of the recommended stategies? 1. Does the patient know about proper baby positioning during breast feeding?,Believing that cracked nipples are natural signs that they should stop breast feeding the baby.,"No, cracked nipples are not signs that one must stop breastfeeding their baby, rather a sign to check the attachment technique.",Sara is advised not to stop breasf feeding.   Sara is told to leave the breast to dry. after applying expressed breast milk on the  cracked areas.     Sara is taught about the proper breast attachment technique by demonstration. Sara's breast is examined to determine the severity of the cracks. Routine check ups are scheduled to follow up the healig process.,,,,,,,,,,,,,,,,,,
naomi 35 year old woman develop fever abdominal pain four day deliver third child worried condition acholi culture believe pueperal sepsis punishment god,"Postpartum care, Fever, Abdominal pain, Third child",What steps should be taken to assess and manage Naomi's fever and abdominal pain in the postpartum period? What additional postpartum care might she need?,"Postpartum Care, Puerperal Sepsis, Health Assessment",1. Does the patient know about the proper self care after birth?   2.Has the patient been resuming sex so early immediately after birth?,Believing  that pueperal sepsis is a punishment from the gods?,"Pueperal sepsis is a medical complication that can be treated or managed medically . Naomi should lso be advised to abstain from sexual intercourse for at least 6 
weeks.  ","Malaria test to rule out Malaria, Urinalysis to rule out UTIs  Administer broad spectrum antibiotics ie Ampicillin 500mg 6hourly PLUS 
Gentamycin 80mg 12 hourly PLUS IV 
Metronidazole 500mg 8hourly for 3 
days",,,,,,,,,,,,,,,,,,
chloe 27 year old woman experience depressive symptom two week give birth feels detach baby struggle cope think give birth particular baby sex divine punishment,"Postpartum care, Depressive symptoms, Detachment, Struggling",How would you approach Chloe's depressive symptoms and feelings of detachment in the postpartum period? What support services should she be referred to?,"Postpartum Care, Mental Health, Support Services",1. Does the patient have a suppotive partner?  2. Does the patient love the baby's sex? 3. Was the conception deliberate? 4. Do u think of ending your life? 5.Does the patient ever think of hurting the baby? ,"Believing that giving birth to a particular baby sex, is a divine punishment . This mainly occurs among abundoned post partum mothers.",Any successful labor and birth is actually a blessing as many ladies are always visiting fertility clinics with an intent to have a successful conception.,Mother needs counselling and guidance on management of depression. Mother should never be left alone as this amplifies the depression. Mother should be linked to counselling department.,,,,,,,,,,,,,,,,,,
ava 25 year old woman suffer severe constipation hemorrhoid give birth first child seek relief symptom tell friend haemorrhoid masse colon,"Postpartum care, Constipation, Hemorrhoids, First child",What recommendations would you provide to Ava for managing constipation and hemorrhoids in the postpartum period? What postpartum care should she receive?,"Postpartum Care, Hemorrhoids, Constipation",Have you suffered haemorrhois before? Are there any specific foods that woren your pain when eaten?,Believeing  that  haemorrhoids are just masses in the colon ,"Haemorrhoids are extended blood vessels, that prorude into the rectum",Advising mother to increase water in take.   Advising mother to implement sit baths.,,,,,,,,,,,,,,,,,,
emily 31 year old woman concerned weight gain pregnancy believe weight gain pregnancy permanent eager return pre pregnancy weight unsure start,"Postpartum care, Weight gain, Pre-pregnancy weight, Concerned",How would you address Emily's concerns about her weight gain and desire to return to her pre-pregnancy weight? What postpartum care advice would you give her?,"Postpartum Care, Weight Management, Health Education",Is the patient worried about her body image? Is the patient willing to live a bit restriced life to gain back the normal weight? ,"She believes that, the weight gained during pregnancy is permanent. The accompanied body shape changes too are permanent.",Weight gain during pregnancy is due to the body's adaptation in order to accomodate the growing fetus but after delivery there is possiblity of returning to the pre-pregnancy weight,"Advise the mother to maitain regular physical exercises, such as walking for over 20minutes in order to burn some calories. Advise the mother to manage her diet, by reducing fatty foods.",,,,,,,,,,,,,,,,,,
abigail 29 year old woman develop urinary incontinence deliver second child embarrassed seek help condition think condition cure,"Postpartum care, Urinary incontinence, Second child, Embarrassed",How would you address Abigail's urinary incontinence in the postpartum period? What strategies would you recommend to manage her condition?,"Postpartum Care, Urinary Incontinence, Health Assessment","Has the patient talked to her spouse about this and what was his response?  How long has it taken? Has the patient ever had a similar condition before other two pregnancies? Does it happen when you cough, or sneeze ?","Tthinking that this condition has no cure. Some mothers think, it affects fertility.",Urinary incontinence has cure and it can be treated by a urologist.,Doing pelvic floor exercises and start wearing absorbent undergarments . Also bladder retraining that involves gradually increasing time until urination.,,,,,,,,,,,,,,,,,,
sophia 34 year old woman feel anxious resume sexual activity give birth tell post delivery sex painful question contraception change body,"Postpartum care, Sexual activity, Contraception, Anxiety",How would you address Sophia's anxiety about resuming sexual activity and questions about contraception in the postpartum period? What postpartum care should she receive?,"Postpartum Care, Sexual Health, Contraception","What type of birth did you have? Was it a prolonged labor? Were there any complications involved such as tears among others? Have you healed, do u personally feel ready for intercourse?",Believing that post delivery sex is painful . Others believe that the sex will never be the same again. ,Sexual intercourse after delivery is alright as long as the body is allowed enough time to heal. ,"Sex should be resumed in 4 to 6 weeks, Care must be taken to use family planning methods in order to enable child spacing. Exclusive breast feeding can be a natural family planning method in case the couple can not opt for other available methods.",,,,,,,,,,,,,,,,,,
isabella 33 year old woman struggle sleep deprivation birth twin feel overwhelmed unable care baby western culture believe moment give birth must endure new life suffer,"Postpartum care, Sleep deprivation, Twins, Overwhelmed",How would you support Isabella in managing sleep deprivation and feeling overwhelmed in the postpartum period? What postpartum care services should she consider?,"Postpartum Care, Sleep Management, Mental Healt",Do you feel like you are detached from the babies? Are they feeling like  a burden?,Believeing that the moment you give birth you must endure a new life of suffering.,"After birth, the postnatal woman can acquire a helper.",Advise the mother to get a helper and start sleeping about 8 hours of sleep. Breastfeeding the babies to satisfaction will allow them to sleep off and this will also provide a mother with enough time to sleep too.,,,,,,,,,,,,,,,,,,
