Scenario,Keywords,Question,Guidelines Targeted,Health screening Questions (2-5),Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
amina 26 year old woman 8 month pregnant live region malaria prevalent recently eat mango rain mosquito net home recently diagnose malaria want advice protect baby future infection,"Malaria, 8 months pregnant, Mosquito net, Protection, Future infections and eating mangoes when it is raining.",What steps should Amina take to protect herself and her baby from malaria in the last month of her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Have you been attending ANC? Have you been monitoring your baby's movements all throught the pregnancy? Do you have any other complaints?,Eating mangoes when it is raining makes one to get malaria.,Mangoes boost the immunity and have no relation with malaria. Rain increases room for mosquito breeding but it doesnot necessarily cause malaria.,"Sleep under a treated mosquito net, clear bushes and stagnant water. Attend ANC and take the antimalarials given at the visit. Make a birth preparedness plan."
jennifer 29 year old pregnant woman second trimester feel weak fatigued eat fruit like pineapple since become pregnant worried might contract malaria husband recently recover malaria live near swampy area mosquito common,"Malaria, Second trimester, Weakness, Fatigue, Swampy area, eating pineapples","How would you evaluate Jennifer's risk of malaria given her symptoms, her husband's recent illness, and their living conditions? What recommendations would you provide to manage her symptoms and reduce her risk of infection?","Management of Malaria in Pregnancy, Antenatal Care, Management of Hypertensive Disorders in Pregnancy","Which measures have you put up to protect yourselves against malaria? Do you know when you might give birth? What is your diet plan, now that you are pregnant?",Eating pineapples is not good for pregnancy.,Pineapples arerich in vitamins and therefore good as a diet supplement.,Put in place various measures to fight malaria in her home. Attend ANC regularly at the nearest health center.Eat pineapples because the myth is not true. Get treatment as prescribed and adhere to it.
naomi 30 year old pregnant woman live crowded urban area two young child husband naomi also tell grandmother wear black clothe make one invisible mosquito wear since become pregnant recently test positive malaria worried family risk infection naomi also concerned safety antimalarial drug pregnancy,"Malaria, Urban area, Family risk, Antimalarial drugs, Safety, wearing black clothes for malaria prevention.",How would you address Naomi's concerns about the safety of antimalarial drugs during pregnancy and her family's risk of infection?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you use to fight malaria? Do you sleep under a treated mosquito net? ,Black clothes protect one against mosquito bites.,Clothes that one wears don’t deter a amosquito from biting that person and so they don’t protect a person against malaria.,Sleep under a treated mosquito net. Learn proper use of a mosquito net. Attend ANC regularly.
beatrice 34 year old woman pregnant twin live high risk malaria zone also tell twin special blessing protect mother harm intermittent fever headache past week beatrice concerned potential impact malaria pregnancy especially consider twin,"Malaria, Twins, High-risk zone, Fever, Headaches, twins protect protect from harm.","Given Beatrice's symptoms and the fact that she is pregnant with twins, how would you assess her condition and manage her suspected malaria?","Management of Malaria in Pregnancy, Multiple Pregnancies, Intrapartum Care",Have you ever done an ultrsound scan? Which measures do you employ to fight malaria?,Twins protect their mother from harm.,The children in the belly don’t directly play a role in the protection of the mother,Get rest and eat a balanced diet. Sleep under a treated mosquito net. Attend ANC and take antimalarials regularly.
ruth 27 year old pregnant woman diagnose malaria first trimester ruth leave community believe insect sacred ansestor communicate complete treatment second trimester experience recurrent episode fever chill ruth worried impact recurrent malaria unborn child,"Malaria, Recurrent episodes, Fever, Chills, Unborn child, insects are sacred and means of communication by anscestors.",What steps would you take to manage Ruth's recurrent malaria and prevent further episodes? What information would you provide to address her concerns about the impact on her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Hyperemesis Gravidarum",Do you have any immune-compromising illness? Do you sleep under a treated mosquito net?,Insects are sacred and means of communication by ancestors.,"Insects are another species on earth, there is no proved connection between them and anscestors. They bite a human to feed.",Attend ANC regularly.Take antimalarials for prophylaxis. Get an ultrasound scan done.
hannah 31 year old woman third trimester co wife say bewitch diagnose severe malaria experience high fever confusion difficulty breathe hannah husband concerned seek urgent medical assistance wife,"Malaria, Third trimester, Severe malaria, Fever, Difficulty breathing, witchcraft.",What immediate steps would you take to manage Hannah's severe malaria? How would you monitor her condition and the health of her unborn child?,"Management of Malaria in Pregnancy, Management of Hypertensive Disorders in Pregnancy, Intrapartum Care",Do you have any knowledge on malaria? Have you experiences a convulsion before? Have you taken any painkillers?,Malaria caused by witchcraft.,Malaria is caused by a bite from an infected female anophlese mosquito and so its not caused by witchcraft.,Get admitted to the hospital ward. Attend ANC regaularly. Get treatment regularly.
margaret 33 year old pregnant woman second trimester recently move malaria endemic region believe though ancestor happy relocation unsure local healthcare facility want guidance prevent malaria pregnancy,"Malaria, Second trimester, Malaria-endemic region, Prevention, Local healthcare, anscestors.",What preventive measures would you recommend to Margaret to minimize her risk of contracting malaria in her new environment?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Have you ever employes any measures to fight malaria? Do you have knowledge on malaria?,Anscestors angry with Margaret because of the relocation and therefore making her sick.,Malaria is caused by a bite from an infected female anophlese mosquito and so its not caused by witchcraft.,Sleep under a treated mosquito net? Take prophylactic antimalarials. Attend ANC regularly. 
susan 35 year old woman first trimester pregnancy live region malaria common concerned family risk malaria two child previously contract disease believe though local herb take omululuza protect heal malaria susan seek advice protect family pregnancy,"Malaria, First trimester, Family risk, Previous infections, Protection",How would you advise Susan on the steps to protect her family and herself from malaria during her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Which measures do you use to fight malaria? Do you sleep under a treated mosquito net? Do the herbs make you feel better?,Local herbs protect and heal one from malaria,Local herbs could heal if proven in the lab but the contribution towards protection is not proven.,"Sleep under a treated mosquito net, clear bushes and stagnant water. Learn the correct use of a mosquito net. Attend ANC and take the antimalarials given at the visit. Make a birth preparedness plan."
lillian 28 year old pregnant woman experience fever body ache previously malaria worried current symptom might due another malaria infection lillian live rural area malaria prevalent also take bitter food like small eggplant locally call katunkuma think protect malaria,"Malaria, Fever, Body aches, Previous infection, Rural area, Protection","How would you assess Lillian's symptoms, given her history of malaria and her living conditions? What recommendations would you provide for managing her symptoms and preventing future infections?","Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Did you complete the dose the first time you were sick? Which measures do you employ to protect against malaria?,Bitter vegetables protect from malaria.,Vegertables boost immunity but do not directly protect against malaria.,Employ measures to fight against malaria. Attend ANC and take the antimalarials regularly. Get treatment and adhere to it.
grace 24 year old pregnant woman third trimester live area high rate malaria use mosquito net take prophylactic antimalarial drug despite measure grace recently develop fever concerned risk malaria unborn child grace though believe medicine use white dangerous component miss dose sometimes,"Malaria, Third trimester, Mosquito net, Prophylactic drugs, Fever",How would you evaluate Grace's risk of malaria given her preventive measures and current symptoms? What steps would you take to ensure the health and safety of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you know the proper use of a mosquito net ? Do you attend ANC? ,Manufactured medicines have dangerous components.,Manufactured medicines go through various tests to ensure that they are safe before they are made availabe to people for use.,Take medicine as prescribed fro a recognised health facility. Eat a balanced diet. Attend ANC regularly.
